product	product_lc
Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)	phosphoribosylglycinamide formyltransferase 2 (ec 2.1.2.-)
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	phosphoribosylaminoimidazole-succinocarboxamide synthase (ec 6.3.2.6)
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	phosphoribosylformylglycinamidine synthase, synthetase subunit (ec 6.3.5.3) / phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (ec 6.3.5.3)
choriogenin H	choriogenin h
UDP-glucose 4-epimerase (EC 5.1.3.2)	udp-glucose 4-epimerase (ec 5.1.3.2)
Amidophosphoribosyltransferase (EC 2.4.2.14)	amidophosphoribosyltransferase (ec 2.4.2.14)
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	phosphoribosylformylglycinamidine cyclo-ligase (ec 6.3.3.1)
Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	phosphoribosylamine--glycine ligase (ec 6.3.4.13)
FIG00671960: hypothetical protein	fig00671960: hypothetical protein
Putative membrane protein	putative membrane protein
Zinc uptake regulation protein ZUR	zinc uptake regulation protein zur
Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	phosphoribosylaminoimidazole carboxylase atpase subunit (ec 4.1.1.21)
Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	phosphoribosylaminoimidazole carboxylase catalytic subunit (ec 4.1.1.21)
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	1-deoxy-d-xylulose 5-phosphate synthase (ec 2.2.1.7)
FIG00424277: hypothetical protein	fig00424277: hypothetical protein
Alpha-N-arabinofuranosidase (EC 3.2.1.55)	alpha-n-arabinofuranosidase (ec 3.2.1.55)
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase	biotin carboxylase of acetyl-coa carboxylase (ec 6.3.4.14) / biotin carboxyl carrier protein of acetyl-coa carboxylase
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54) / Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	allophanate hydrolase 2 subunit 1 (ec 3.5.1.54) / allophanate hydrolase 2 subunit 2 (ec 3.5.1.54)
Lactam utilization protein LamB	lactam utilization protein lamb
hypothetical protein possibly connected to lactam utilization and allophanate hydrolase	hypothetical protein possibly connected to lactam utilization and allophanate hydrolase
Aminodeoxychorismate lyase (EC 4.1.3.38)	aminodeoxychorismate lyase (ec 4.1.3.38)
DNA primase (EC 2.7.7.-)	dna primase (ec 2.7.7.-)
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	deoxyguanosinetriphosphate triphosphohydrolase (ec 3.1.5.1)
Alanine racemase (EC 5.1.1.1)	alanine racemase (ec 5.1.1.1)
Amino acid permease	amino acid permease
Histone acetyltransferase HPA2 and related acetyltransferases	histone acetyltransferase hpa2 and related acetyltransferases
S-ribosylhomocysteine lyase (EC 4.4.1.21) / Autoinducer-2 production protein LuxS	s-ribosylhomocysteine lyase (ec 4.4.1.21) / autoinducer-2 production protein luxs
Ferritin and Dps	ferritin and dps
ATP-dependent DNA helicase RecQ	atp-dependent dna helicase recq
Cystathionine beta-synthase (EC 4.2.1.22)	cystathionine beta-synthase (ec 4.2.1.22)
Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	pantothenate kinase type iii, coax-like (ec 2.7.1.33)
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	phosphopantothenoylcysteine decarboxylase (ec 4.1.1.36) / phosphopantothenoylcysteine synthetase (ec 6.3.2.5)
ABC-type sugar transport system, periplasmic component	abc-type sugar transport system, periplasmic component
Beta-galactosidase (EC 3.2.1.23)	beta-galactosidase (ec 3.2.1.23)
Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	ribosomal large subunit pseudouridine synthase a (ec 4.2.1.70)
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (ec 2.6.1.16)
ABC transporter, ATP-binding protein	abc transporter, atp-binding protein
probable solute binding protein of ABC transporter system	probable solute binding protein of abc transporter system
tmRNA-binding protein SmpB	tmrna-binding protein smpb
FIG00672196: hypothetical protein	fig00672196: hypothetical protein
Cell division protein FtsX	cell division protein ftsx
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	cell division transporter, atp-binding protein ftse (tc 3.a.5.1.1)
Peptide chain release factor 2	peptide chain release factor 2
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase (ec 2.3.1.117)
putative membrane protein	putative membrane protein
Citrate synthase (si) (EC 2.3.3.1)	citrate synthase (si) (ec 2.3.3.1)
Methionine aminopeptidase (EC 3.4.11.18)	methionine aminopeptidase (ec 3.4.11.18)
Probable conserved membrane protein	probable conserved membrane protein
metallopeptidase	metallopeptidase
single-strand DNA-binding protein	single-strand dna-binding protein
Prolyl-tRNA synthetase (EC 6.1.1.15)	prolyl-trna synthetase (ec 6.1.1.15)
PE-PGRS family protein	pe-pgrs family protein
ABC transporter, substrate-binding protein	abc transporter, substrate-binding protein
ABC-type polysaccharide transport system, permease component	abc-type polysaccharide transport system, permease component
sugar ABC transporter permease	sugar abc transporter permease
FIG00424457: hypothetical protein	fig00424457: hypothetical protein
putative helicase	putative helicase
3'-to-5' oligoribonuclease (orn)	3'-to-5' oligoribonuclease (orn)
Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter	proline/sodium symporter putp (tc 2.a.21.2.1) @ propionate/sodium symporter
Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	undecaprenyl-phosphate n-acetylglucosaminyl 1-phosphate transferase (ec 2.7.8.-)
YrdC/Sua5 family protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	yrdc/sua5 family protein, required for threonylcarbamoyladenosine (t(6)a) formation in trna
Methylase of polypeptide chain release factors	methylase of polypeptide chain release factors
Peptide chain release factor 1	peptide chain release factor 1
50S ribosomal protein L31	50s ribosomal protein l31
Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	substrate-specific component ykoe of thiamin-regulated ecf transporter for hydroxymethylpyrimidine
Probable Na+ dependent transporter possibly for ileal bile acids	probable na+ dependent transporter possibly for ileal bile acids
Lactoylglutathione lyase and related lyases	lactoylglutathione lyase and related lyases
possible NAD(P)H oxidoreductase	possible nad(p)h oxidoreductase
Very-short-patch mismatch repair endonuclease (G-T specific)	very-short-patch mismatch repair endonuclease (g-t specific)
Nudix-related transcriptional regulator NrtR	nudix-related transcriptional regulator nrtr
Quinolinate synthetase (EC 2.5.1.72)	quinolinate synthetase (ec 2.5.1.72)
L-aspartate oxidase (EC 1.4.3.16)	l-aspartate oxidase (ec 1.4.3.16)
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	quinolinate phosphoribosyltransferase [decarboxylating] (ec 2.4.2.19)
Cysteine desulfurase (EC 2.8.1.7)	cysteine desulfurase (ec 2.8.1.7)
2-dehydropantoate 2-reductase (EC 1.1.1.169)	2-dehydropantoate 2-reductase (ec 1.1.1.169)
probable oxidoreductase	probable oxidoreductase
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)	mutator mutt protein (7,8-dihydro-8-oxoguanine-triphosphatase) (ec 3.6.1.-)
DNA/RNA helicase of DEAD/DEAH box family	dna/rna helicase of dead/deah box family
Thiaminase II (EC 3.5.99.2)	thiaminase ii (ec 3.5.99.2)
predicted ATPase	predicted atpase
5-NITROIMIDAZOLE ANTIBIOTIC RESISTANCE PROTEIN	5-nitroimidazole antibiotic resistance protein
COG0553: Superfamily II DNA/RNA helicases, SNF2 family	cog0553: superfamily ii dna/rna helicases, snf2 family
ATP-dependent RNA helicase	atp-dependent rna helicase
conserved inner membrane protein	conserved inner membrane protein
ABC transporter ATP-binding protein	abc transporter atp-binding protein
Acyl-CoA thioesterase II (EC 3.1.2.-)	acyl-coa thioesterase ii (ec 3.1.2.-)
FIG027937: secreted protein	fig027937: secreted protein
Dihydroneopterin aldolase (EC 4.1.2.25) / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	dihydroneopterin aldolase (ec 4.1.2.25) / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (ec 2.7.6.3)
Dihydropteroate synthase (EC 2.5.1.15)	dihydropteroate synthase (ec 2.5.1.15)
GTP cyclohydrolase I (EC 3.5.4.16) type 1	gtp cyclohydrolase i (ec 3.5.4.16) type 1
"Dihydroneopterin aldolase / 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase "	"dihydroneopterin aldolase / 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase "
Cell division protein FtsH (EC 3.4.24.-)	cell division protein ftsh (ec 3.4.24.-)
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	hypoxanthine-guanine phosphoribosyltransferase (ec 2.4.2.8)
tRNA(Ile)-lysidine synthetase	trna(ile)-lysidine synthetase
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	d-alanyl-d-alanine carboxypeptidase (ec 3.4.16.4)
FIG00672408: hypothetical protein	fig00672408: hypothetical protein
FIG00671939: hypothetical protein	fig00671939: hypothetical protein
probable glycosyltransferase	probable glycosyltransferase
Lactaldehyde reductase (EC 1.1.1.77)	lactaldehyde reductase (ec 1.1.1.77)
COG2378: Predicted transcriptional regulator	cog2378: predicted transcriptional regulator
Maltodextrin glucosidase (EC 3.2.1.20)	maltodextrin glucosidase (ec 3.2.1.20)
tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)	trna (guanine46-n7-)-methyltransferase (ec 2.1.1.33)
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	low molecular weight protein tyrosine phosphatase (ec 3.1.3.48)
Dihydrofolate reductase (EC 1.5.1.3)	dihydrofolate reductase (ec 1.5.1.3)
Thymidylate synthase (EC 2.1.1.45)	thymidylate synthase (ec 2.1.1.45)
FIG00672188: hypothetical protein	fig00672188: hypothetical protein
Universal stress protein UspA and related nucleotide-binding proteins	universal stress protein uspa and related nucleotide-binding proteins
NLP/P60 family protein	nlp/p60 family protein
Surface antigen	surface antigen
Phosphoserine aminotransferase (EC 2.6.1.52)	phosphoserine aminotransferase (ec 2.6.1.52)
Mannose-6-phosphate isomerase (EC 5.3.1.8)	mannose-6-phosphate isomerase (ec 5.3.1.8)
FIG00425582: hypothetical protein	fig00425582: hypothetical protein
histidine kinase sensor of two component system	histidine kinase sensor of two component system
Phosphate transport system regulatory protein PhoU	phosphate transport system regulatory protein phou
Phosphoglycerate mutase (EC 5.4.2.1)	phosphoglycerate mutase (ec 5.4.2.1)
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	1,4-dihydroxy-2-naphthoate octaprenyltransferase (ec 2.5.1.74)
archaeal ATPase, fused to C-terminal DUF234 domain	archaeal atpase, fused to c-terminal duf234 domain
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	lysyl-trna synthetase (class ii) (ec 6.1.1.6)
FOG: TPR repeat	fog: tpr repeat
FIG00423972: hypothetical protein	fig00423972: hypothetical protein
possible histidine kinase sensor of two component system	possible histidine kinase sensor of two component system
two component transcriptional regulator, LuxR family	two component transcriptional regulator, luxr family
Seryl-tRNA synthetase (EC 6.1.1.11)	seryl-trna synthetase (ec 6.1.1.11)
FIG00672197: hypothetical protein	fig00672197: hypothetical protein
PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	pts system, beta-glucoside-specific iib component (ec 2.7.1.69) / pts system, beta-glucoside-specific iic component (ec 2.7.1.69) / pts system, beta-glucoside-specific iia component (ec 2.7.1.69)
"Choline kinase "	"choline kinase "
putative aminotransferase	putative aminotransferase
putative HTH-type transcriptional regulator	putative hth-type transcriptional regulator
Threonine dehydrogenase and related Zn-dependent dehydrogenases	threonine dehydrogenase and related zn-dependent dehydrogenases
Proline racemase (EC 5.1.1.4)	proline racemase (ec 5.1.1.4)
D-proline reductase, 26 kDa subunit (EC 1.21.4.1) @ selenocysteine-containing	d-proline reductase, 26 kda subunit (ec 1.21.4.1) @ selenocysteine-containing
D-proline reductase, 45 kDa subunit (EC 1.21.4.1) / D-proline reductase, 23 kDa subunit (EC 1.21.4.1)	d-proline reductase, 45 kda subunit (ec 1.21.4.1) / d-proline reductase, 23 kda subunit (ec 1.21.4.1)
putative electron transfer protein	putative electron transfer protein
Binding-protein-dependent transport systems inner membrane component	binding-protein-dependent transport systems inner membrane component
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	oligopeptide transport atp-binding protein oppd (tc 3.a.1.5.1)
ribonuclease H	ribonuclease h
Ribose 5-phosphate isomerase A (EC 5.3.1.6)	ribose 5-phosphate isomerase a (ec 5.3.1.6)
DNA repair protein RadA	dna repair protein rada
Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)	riboflavin kinase (ec 2.7.1.26) / fmn adenylyltransferase (ec 2.7.7.2)
tRNA pseudouridine synthase B (EC 4.2.1.70)	trna pseudouridine synthase b (ec 4.2.1.70)
Ribosome-binding factor A	ribosome-binding factor a
Translation initiation factor 2	translation initiation factor 2
Transcription termination protein NusA	transcription termination protein nusa
tRNA pseudouridine synthase A (EC 4.2.1.70)	trna pseudouridine synthase a (ec 4.2.1.70)
LSU ribosomal protein L17p	lsu ribosomal protein l17p
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	dna-directed rna polymerase alpha subunit (ec 2.7.7.6)
SSU ribosomal protein S11p (S14e)	ssu ribosomal protein s11p (s14e)
SSU ribosomal protein S13p (S18e)	ssu ribosomal protein s13p (s18e)
Translation initiation factor 1	translation initiation factor 1
Adenylate kinase (EC 2.7.4.3)	adenylate kinase (ec 2.7.4.3)
Preprotein translocase secY subunit (TC 3.A.5.1.1)	preprotein translocase secy subunit (tc 3.a.5.1.1)
LSU ribosomal protein L15p (L27Ae)	lsu ribosomal protein l15p (l27ae)
LSU ribosomal protein L30p (L7e)	lsu ribosomal protein l30p (l7e)
SSU ribosomal protein S5p (S2e)	ssu ribosomal protein s5p (s2e)
LSU ribosomal protein L18p (L5e)	lsu ribosomal protein l18p (l5e)
LSU ribosomal protein L6p (L9e)	lsu ribosomal protein l6p (l9e)
SSU ribosomal protein S8p (S15Ae)	ssu ribosomal protein s8p (s15ae)
SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent	ssu ribosomal protein s14p (s29e) @ ssu ribosomal protein s14p (s29e), zinc-dependent
LSU ribosomal protein L5p (L11e)	lsu ribosomal protein l5p (l11e)
LSU ribosomal protein L24p (L26e)	lsu ribosomal protein l24p (l26e)
LSU ribosomal protein L14p (L23e)	lsu ribosomal protein l14p (l23e)
SSU ribosomal protein S17p (S11e)	ssu ribosomal protein s17p (s11e)
LSU ribosomal protein L29p (L35e)	lsu ribosomal protein l29p (l35e)
LSU ribosomal protein L16p (L10e)	lsu ribosomal protein l16p (l10e)
SSU ribosomal protein S3p (S3e)	ssu ribosomal protein s3p (s3e)
LSU ribosomal protein L22p (L17e)	lsu ribosomal protein l22p (l17e)
SSU ribosomal protein S19p (S15e)	ssu ribosomal protein s19p (s15e)
LSU ribosomal protein L2p (L8e)	lsu ribosomal protein l2p (l8e)
LSU ribosomal protein L23p (L23Ae)	lsu ribosomal protein l23p (l23ae)
LSU ribosomal protein L4p (L1e)	lsu ribosomal protein l4p (l1e)
LSU ribosomal protein L3p (L3e)	lsu ribosomal protein l3p (l3e)
SSU ribosomal protein S10p (S20e)	ssu ribosomal protein s10p (s20e)
lipase	lipase
Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	alcohol dehydrogenase (ec 1.1.1.1); acetaldehyde dehydrogenase (ec 1.2.1.10)
SSU ribosomal protein S9p (S16e)	ssu ribosomal protein s9p (s16e)
LSU ribosomal protein L13p (L13Ae)	lsu ribosomal protein l13p (l13ae)
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	4-alpha-glucanotransferase (amylomaltase) (ec 2.4.1.25)
FIG00672147: hypothetical protein	fig00672147: hypothetical protein
FIG000605: protein co-occurring with transport systems (COG1739)	fig000605: protein co-occurring with transport systems (cog1739)
DNA polymerase IV (EC 2.7.7.7)	dna polymerase iv (ec 2.7.7.7)
N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	n-succinyl-l,l-diaminopimelate aminotransferase alternative (ec 2.6.1.17)
4Fe-4S ferredoxin, iron-sulfur binding	4fe-4s ferredoxin, iron-sulfur binding
Amino acid permease-associated region precursor	amino acid permease-associated region precursor
UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	udp-n-acetylenolpyruvoylglucosamine reductase (ec 1.1.1.158)
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	biosynthetic aromatic amino acid aminotransferase beta (ec 2.6.1.57)
Heat shock protein 60 family co-chaperone GroES	heat shock protein 60 family co-chaperone groes
FIG00424428: hypothetical protein	fig00424428: hypothetical protein
Ribosomal-protein-S5p-alanine acetyltransferase	ribosomal-protein-s5p-alanine acetyltransferase
"5-formyltetrahydrofolate cyclo-ligase "	"5-formyltetrahydrofolate cyclo-ligase "
FIG00424295: hypothetical protein	fig00424295: hypothetical protein
FIG00424071: hypothetical protein	fig00424071: hypothetical protein
FIG00672191: hypothetical protein	fig00672191: hypothetical protein
FIG00424610: hypothetical protein	fig00424610: hypothetical protein
LSU ribosomal protein L7/L12 (P1/P2)	lsu ribosomal protein l7/l12 (p1/p2)
LSU ribosomal protein L10p (P0)	lsu ribosomal protein l10p (p0)
Xanthine/uracil/thiamine/ascorbate permease family protein	xanthine/uracil/thiamine/ascorbate permease family protein
Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	phosphate transport atp-binding protein pstb (tc 3.a.1.7.1)
Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	phosphate transport system permease protein psta (tc 3.a.1.7.1)
Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	phosphate transport system permease protein pstc (tc 3.a.1.7.1)
Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	phosphate abc transporter, periplasmic phosphate-binding protein psts (tc 3.a.1.7.1)
Phosphate regulon transcriptional regulatory protein PhoB (SphR)	phosphate regulon transcriptional regulatory protein phob (sphr)
Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	phosphate regulon sensor protein phor (sphs) (ec 2.7.13.3)
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	2-keto-3-deoxy-d-arabino-heptulosonate-7-phosphate synthase i alpha (ec 2.5.1.54)
Aminopeptidase C (EC 3.4.22.40)	aminopeptidase c (ec 3.4.22.40)
Cell division initiation protein DivIVA	cell division initiation protein diviva
Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)	pyrrolidone-carboxylate peptidase (ec 3.4.19.3)
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase (ec 2.7.7.60)
FIG00672116: hypothetical protein	fig00672116: hypothetical protein
peptidase, U32 family large subunit [C1]	peptidase, u32 family large subunit [c1]
possible oxidoreductase of the aldo/keto reductase family	possible oxidoreductase of the aldo/keto reductase family
LemA protein	lema protein
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	polyribonucleotide nucleotidyltransferase (ec 2.7.7.8)
SSU ribosomal protein S15p (S13e)	ssu ribosomal protein s15p (s13e)
Membrane protein involved in the export of O-antigen and teichoic acid	membrane protein involved in the export of o-antigen and teichoic acid
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	holo-[acyl-carrier protein] synthase (ec 2.7.8.7)
[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)	[acyl-carrier-protein] acetyl transferase of fasi (ec 2.3.1.38) / enoyl-[acyl-carrier-protein] reductase of fasi (ec 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of fasi (ec 4.2.1.61) / [acyl-carrier-protein] malonyl transferase of fasi (ec 2.3.1.39) / [acyl-carrier-protein] palmitoyl transferase of fasi (ec 2.3.1.-) / acyl carrier protein of fasi / 3-oxoacyl-[acyl-carrier-protein] reductase of fasi (ec 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of fasi (ec 2.3.1.41)
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	acetyl-coenzyme a carboxyl transferase alpha chain (ec 6.4.1.2) / acetyl-coenzyme a carboxyl transferase beta chain (ec 6.4.1.2); propionyl-coa carboxylase beta chain (ec 6.4.1.3)
Substrate-specific component BioY of biotin ECF transporter	substrate-specific component bioy of biotin ecf transporter
Biotin-protein ligase (EC 6.3.4.15)	biotin-protein ligase (ec 6.3.4.15)
COG1879: ABC-type sugar transport system, periplasmic component	cog1879: abc-type sugar transport system, periplasmic component
Regulator of polyketide synthase expression	regulator of polyketide synthase expression
LSU ribosomal protein L1p (L10Ae)	lsu ribosomal protein l1p (l10ae)
LSU ribosomal protein L11p (L12e)	lsu ribosomal protein l11p (l12e)
Transcription antitermination protein NusG	transcription antitermination protein nusg
Preprotein translocase subunit SecE (TC 3.A.5.1.1)	preprotein translocase subunit sece (tc 3.a.5.1.1)
Glutamate 5-kinase (EC 2.7.2.11)	glutamate 5-kinase (ec 2.7.2.11)
COG0536: GTP-binding protein Obg	cog0536: gtp-binding protein obg
LSU ribosomal protein L27p	lsu ribosomal protein l27p
LSU ribosomal protein L21p	lsu ribosomal protein l21p
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	cytoplasmic axial filament protein cafa and ribonuclease g (ec 3.1.4.-)
N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	n-succinyl-l,l-diaminopimelate desuccinylase (ec 3.5.1.18)
Septum formation protein Maf	septum formation protein maf
Homoserine kinase (EC 2.7.1.39)	homoserine kinase (ec 2.7.1.39)
Homoserine dehydrogenase (EC 1.1.1.3)	homoserine dehydrogenase (ec 1.1.1.3)
Diaminopimelate decarboxylase (EC 4.1.1.20)	diaminopimelate decarboxylase (ec 4.1.1.20)
Arginyl-tRNA synthetase (EC 6.1.1.19)	arginyl-trna synthetase (ec 6.1.1.19)
Endoribonuclease L-PSP	endoribonuclease l-psp
COG3118: Thioredoxin domain-containing protein EC-YbbN	cog3118: thioredoxin domain-containing protein ec-ybbn
FIG00672346: hypothetical protein	fig00672346: hypothetical protein
possible secreted peptidyl-prolyl cis-trans isomerase protein	possible secreted peptidyl-prolyl cis-trans isomerase protein
FIG00996186: hypothetical protein	fig00996186: hypothetical protein
ATP synthase epsilon chain (EC 3.6.3.14)	atp synthase epsilon chain (ec 3.6.3.14)
ATP synthase beta chain (EC 3.6.3.14)	atp synthase beta chain (ec 3.6.3.14)
ATP synthase gamma chain (EC 3.6.3.14)	atp synthase gamma chain (ec 3.6.3.14)
ATP synthase alpha chain (EC 3.6.3.14)	atp synthase alpha chain (ec 3.6.3.14)
ATP synthase delta chain (EC 3.6.3.14)	atp synthase delta chain (ec 3.6.3.14)
ATP synthase B chain (EC 3.6.3.14)	atp synthase b chain (ec 3.6.3.14)
ATP synthase C chain (EC 3.6.3.14)	atp synthase c chain (ec 3.6.3.14)
ATP synthase A chain (EC 3.6.3.14)	atp synthase a chain (ec 3.6.3.14)
Homoserine O-succinyltransferase (EC 2.3.1.46)	homoserine o-succinyltransferase (ec 2.3.1.46)
L-asparagine permease	l-asparagine permease
L-asparaginase (EC 3.5.1.1)	l-asparaginase (ec 3.5.1.1)
Alpha-amylase (EC 3.2.1.1)	alpha-amylase (ec 3.2.1.1)
Inorganic pyrophosphatase (EC 3.6.1.1)	inorganic pyrophosphatase (ec 3.6.1.1)
Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	response regulators consisting of a chey-like receiver domain and a winged-helix dna-binding domain
Endonuclease III (EC 4.2.99.18)	endonuclease iii (ec 4.2.99.18)
Valyl-tRNA synthetase (EC 6.1.1.9)	valyl-trna synthetase (ec 6.1.1.9)
Chorismate mutase I (EC 5.4.99.5)	chorismate mutase i (ec 5.4.99.5)
Transcription termination factor Rho	transcription termination factor rho
Protoporphyrinogen oxidase	protoporphyrinogen oxidase
Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	protein often found in actinomycetes clustered with signal peptidase and/or rnasehii
possible acetyltransferase	possible acetyltransferase
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	aspartyl-trna(asn) amidotransferase subunit b (ec 6.3.5.6) @ glutamyl-trna(gln) amidotransferase subunit b (ec 6.3.5.7)
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	aspartyl-trna(asn) amidotransferase subunit a (ec 6.3.5.6) @ glutamyl-trna(gln) amidotransferase subunit a (ec 6.3.5.7)
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	aspartyl-trna(asn) amidotransferase subunit c (ec 6.3.5.6) @ glutamyl-trna(gln) amidotransferase subunit c (ec 6.3.5.7)
FIG00425069: hypothetical protein	fig00425069: hypothetical protein
DNA recombination protein RmuC	dna recombination protein rmuc
ClpB protein	clpb protein
LSU m3Psi1915 methyltransferase RlmH	lsu m3psi1915 methyltransferase rlmh
Possible glyoxylase family protein (Lactoylglutathione lyase) (EC 4.4.1.5)	possible glyoxylase family protein (lactoylglutathione lyase) (ec 4.4.1.5)
Fumarylacetoacetate hydrolase family protein	fumarylacetoacetate hydrolase family protein
ABC-type sugar transport system, permease component	abc-type sugar transport system, permease component
MSM (multiple sugar metabolism) operon regulatory protein	msm (multiple sugar metabolism) operon regulatory protein
5 nucleotidase, deoxy, cytosolic type C	5 nucleotidase, deoxy, cytosolic type c
ADP-ribosylglycohydrolase	adp-ribosylglycohydrolase
transcriptional regulator, Crp/Fnr family	transcriptional regulator, crp/fnr family
Copper chaperone	copper chaperone
